title,price,image_url,description,main_category,sub_category
Frosty Cà Phê Đường Đen,59000,http://product.hstatic.net/1000075078/product/1737355743_fosty-duong-den_f3d909d7434e4717969e3d3f1fa27443_grande.png,"Đá Xay Frosty Cà Phê Đường Đen mát lạnh, sảng khoái ngay từ ngụm đầu tiên nhờ sự kết hợp vượt chuẩn vị quen giữa Espresso đậm đà và Đường Đen ngọt thơm. Đặc biệt, whipping cream beo béo cùng thạch cà phê giòn dai, đậm vị nhân đôi sự hấp dẫn, khơi bừng sự hứng khởi trong tích tắc.",Thức uống đá xay,Đá xay
Frosty Caramel Arabica,59000,http://product.hstatic.net/1000075078/product/1737355751_fosty-caramel-arabica_298a010dfbc24cc3a57870bf994cbc1e_grande.png,"Caramel ngọt thơm quyện cùng cà phê Arabica Cầu Đất đượm hương gỗ thông, hạt dẻ và nốt sô cô la đặc trưng tạo nên Đá Xay Frosty Caramel Arabica độc đáo chỉ có tại Nhà. Cực cuốn với lớp whipping cream béo mịn, thêm thạch cà phê giòn ngon bắt miệng.",Thức uống đá xay,Đá xay
Frosty Phin-Gato,55000,http://product.hstatic.net/1000075078/product/1737355760_fosty-phin-gato_33081ce89cea40deb1160c10208fb466_grande.png,"Đá Xay Frosty Phin-Gato là lựa chọn không thể bỏ lỡ cho tín đồ cà phê. Cà phê nguyên chất pha phin truyền thống, thơm đậm đà, đắng mượt mà, quyện cùng kem sữa béo ngậy và đá xay mát lạnh. Nhân đôi vị cà phê nhờ có thêm thạch cà phê đậm đà, giòn dai. Thức uống khơi ngay sự tỉnh táo tức thì. Lưu ý: Khuấy đều phần đá xay trước khi dùng",Thức uống đá xay,Đá xay
Trà Sữa Oolong Tứ Quý Sương Sáo,55000,http://product.hstatic.net/1000075078/product/1737358275_tra-sua-oolong-tu-quy-suong-sao_57bb48cbbc4944079b58c9219d4d1ebf_grande.png,"Trà Oolong Tứ Quý ngạt ngào hoa cỏ mùa xuân, hòa quyện cùng sữa thơm mịn màng, sương sáo thanh mát. Đó là Lộc Yêu Yêu ngọt ngào mà Nhà gửi gắm đến bạn.",Trà sữa,
Trà Đen Macchiato,55000,http://product.hstatic.net/1000075078/product/1737356708_tra-den-macchiato_7b9a7c6138ec4b99b666a0bf8612d80c_grande.png,"Trà đen được ủ mới mỗi ngày, giữ nguyên được vị chát mạnh mẽ đặc trưng của lá trà, phủ bên trên là lớp Macchiato ""homemade"" bồng bềnh quyến rũ vị phô mai mặn mặn mà béo béo.",Trà sữa,
Hồng Trà Sữa Trân Châu,55000,http://product.hstatic.net/1000075078/product/1737358261_hong-tra-sua-tran-chau_14cf4c6d514a4e76b52f641642d27e78_grande.png,"Thêm chút ngọt ngào cho ngày mới với hồng trà nguyên lá, sữa thơm ngậy được cân chỉnh với tỉ lệ hoàn hảo, cùng trân châu trắng dai giòn có sẵn để bạn tận hưởng từng ngụm trà sữa ngọt ngào thơm ngậy thiệt đã.",Trà sữa,
Trà Sữa Oolong Nướng Sương Sáo,55000,http://product.hstatic.net/1000075078/product/1737356814_ts-oolong-nuong-suong-sao_4aed3eb72fa6456b9990580c54b51b78_grande.png,"Tận hưởng hương vị Oolong nướng đậm đà được Nhà rang kỹ càng, quyện cùng sữa thơm béo, càng thêm hấp dẫn với sương sáo thanh mát.",Trà sữa,
Oolong Tứ Quý Sen (Nóng),59000,http://product.hstatic.net/1000075078/product/1737356332_oolong-tu-quy-sen-nong_df3f6ef8a6874fae8618499d8d1e2754_grande.png,"Nền trà oolong hảo hạng kết hợp cùng hạt sen tươi, bùi bùi thơm ngon. Trà hạt sen là thức uống thanh mát, nhẹ nhàng phù hợp cho cả buổi sáng và chiều tối.",Trà trái cây - Hi Tea,Trà trái cây
Hồng Trà Sữa Nóng,55000,http://product.hstatic.net/1000075078/product/1737356747_hong-tra-sua-nong_48e7bdb6ef7b44f28b48412496150d26_grande.png,"Từng ngụm trà chuẩn gu ấm áp, đậm đà beo béo bởi lớp sữa tươi chân ái hoà quyện. Trà đen nguyên lá âm ấm dịu nhẹ, quyện cùng lớp sữa thơm béo khó lẫn - hương vị ấm áp chuẩn gu trà, cho từng ngụm nhẹ nhàng, ngọt dịu lưu luyến mãi nơi cuống họng.",Trà sữa,
Dâu Phô Mai,55000,http://product.hstatic.net/1000075078/product/1737355127_tcx-dau_fa487ed301ab46a59d5bd7b57933262d_grande.png,"Dâu tây Đà Lạt chín mọng hòa quyện lớp foam phô mai tươi mềm mịn. Thêm chút Trà Oolong Tứ Quý đượm hương và thạch kim quất mềm tan càng dậy vị trái cây tươi mát. Khuấy đều để thưởng trọn vị sảng khoái. Lưu ý: Sản phẩm không kèm phao",Trà trái cây - Hi Tea,Hi Tea
Hi-Tea - Xinh Chẳng Phai,119000,http://product.hstatic.net/1000075078/product/1728912459_hi-tea-dao-1_e87b2e3e53194de397637378d495d0b7_grande.jpg,"Set quà xinh xắn, chị em nào cũng thích:
- 1 giỏ hoa hồng sáp cao cấp, mãi xinh cùng năm tháng
- 1 Hi-Tea Đào (size M)
*Món nước được phục vụ kèm đá, không để đá riêng",Trà trái cây - Hi Tea,Hi Tea
Trà Xanh - Xinh Chẳng Phai,119000,http://product.hstatic.net/1000075078/product/1728912432_tra-xanh-latte-4_453d8b006de14188b5b2294c62737357_grande.jpg,"Set quà xinh xắn, chị em nào cũng thích:
- 1 giỏ hoa hồng sáp cao cấp, mãi xinh cùng năm tháng
- 1 Trà Xanh Latte (size M)
*Món nước được phục vụ kèm đá, không để đá riêng",Matcha,
Hi-Tea - Yêu Chẳng Phai,199000,http://product.hstatic.net/1000075078/product/1728912362_hi-tea-dao_8f8a2b67a5824f00b32dc24ccdebf98e_grande.jpg,"Set quà sang trọng thay ngàn lời bày tỏ:
- 1 giỏ 10 hoa hồng sáp cao cấp, mãi yêu như ngày đầu
- 1 Hi-Tea Đào (size S) 
*Món nước được phục vụ kèm đá, không để đá riêng",Trà trái cây - Hi Tea,Hi Tea
Trà Xanh - Yêu Chẳng Phai,199000,http://product.hstatic.net/1000075078/product/1728912345_tra-xanh-latte-3_31a04df1a71045b7b7fc11e14f00d646_grande.jpg,"Set quà sang trọng thay ngàn lời bày tỏ:
- 1 giỏ 10 hoa hồng sáp cao cấp, mãi yêu như ngày đầu
- 1 Trà Xanh Latte (size S) 
*Món nước được phục vụ kèm đá, không để đá riêng",Matcha,
Trà Đào - Yêu Chẳng Phai,199000,http://product.hstatic.net/1000075078/product/1728912326_tra-dao-cam-sa-1_4446b67855664bd48ebb6582a4d7d5e0_grande.jpg,"Set quà sang trọng thay ngàn lời bày tỏ:
- 1 giỏ 10 hoa hồng sáp cao cấp, mãi yêu như ngày đầu
- 1 Trà Đào Cam Sả (size S) 
*Món nước được phục vụ kèm đá, không để đá riêng",Trà sữa,
Americano Nóng,49000,http://product.hstatic.net/1000075078/product/1737357102_ame-nong_2988095b141f4f5a8e0eb40be3b43ba6_grande.png,"Americano được pha chế bằng cách pha thêm nước với tỷ lệ nhất định vào tách cà phê Espresso, từ đó mang lại hương vị nhẹ nhàng và giữ trọn được mùi hương cà phê đặc trưng.",Cà phê,A-Mê
